source_plot_id,lat,lon,year,species,trees_per_acre,trees_per_hectare
7340111010661,39.02788,-79.88868,1989,316.0,643.7105,1590.643284
7340231010661,39.16676,-79.9998,1989,400.0,178.1731,440.275318
7340282010661,39.13899,-79.9998,1989,541.0,424.8662,1049.867242
7340335010661,39.0001,-79.9998,1989,316.0,169.9082,419.852305
7340389010661,38.94455,-79.9998,1989,316.0,958.8515,2369.373652
7340449010661,38.94455,-80.05536,1989,316.0,493.1016,1218.480587
7340531010661,39.05566,-80.05536,1989,316.0,619.2063,1530.092087
7340596010661,39.19454,-80.11092,1989,762.0,88.6607,219.085361
7340643010661,39.16676,-80.11092,1989,Unknown,,
7340662010661,39.13898,-80.22203,1989,Unknown,,
7340673010661,39.16677,-79.97202,1989,400.0,226.5574,559.835526
7340740010661,39.2501,-79.88869,1989,318.0,509.9128,1260.021967
7340821010661,39.02788,-79.97202,1989,316.0,146.3038,361.524562
7340883010661,39.0001,-79.94424,1989,316.0,153.3439,378.921028
7340968010661,39.13899,-79.94424,1989,Unknown,,
7340984010661,39.11121,-79.9998,1989,762.0,42.6489,105.387727
7341014010661,39.13899,-80.05536,1989,Unknown,,
7341028010661,39.16676,-80.16647,1989,Unknown,,
7341037010661,39.19454,-80.02758,1989,660.0,413.3154,1021.324594
7341055010661,39.11121,-80.02758,1989,400.0,304.708,752.949864
7341120010661,39.13899,-80.02758,1989,318.0,307.2401,759.20682
7341204010661,39.08343,-80.02758,1989,Unknown,,
7341212010661,39.05566,-79.9998,1989,316.0,221.1715,546.526678
7341277010661,39.02788,-80.02758,1989,Unknown,,
7341291010661,39.0001,-80.05536,1989,802.0,227.2739,561.606037
7341358010661,39.08343,-80.19425,1989,316.0,12.6675,31.302074
7341379010661,39.11121,-80.16647,1989,318.0,358.0775,884.828771
7341442010661,39.16676,-80.16647,1989,Unknown,,
7341454010661,39.13898,-80.22203,1989,901.0,122.4689,302.627242
7341490010661,39.13898,-80.19425,1989,901.0,155.9177,385.281027
7341536010661,39.19454,-80.16647,1989,Unknown,,
7341547010661,38.97232,-80.02758,1989,Unknown,,
7341562010661,39.05566,-79.8609,1989,762.0,553.0403,1366.59234
7341617010661,39.11121,-79.83313,1989,400.0,139.595,344.946757
7341670010661,39.2501,-79.97202,1989,931.0,194.7247,481.175212
7341739010661,39.2501,-79.88869,1989,Unknown,,
7341749010661,39.16677,-79.97202,1989,Unknown,,
7341759010661,39.13899,-79.91646,1989,Unknown,,
7341768010661,39.13899,-79.88868,1989,318.0,588.3764,1453.909745
7341835010661,39.11121,-79.91646,1989,Unknown,,
7341848010661,39.08343,-79.94424,1989,760.0,1856.8996,4588.498831
7341888010661,39.08344,-79.88868,1989,491.0,616.1656,1522.578353
7341963010661,39.08344,-79.88868,1989,318.0,1080.9772,2671.152829
7341995010661,39.02788,-79.94424,1989,693.0,428.4768,1058.789229
7342057010661,39.0001,-79.94424,1989,316.0,977.658,2415.845526
7342140010661,38.97233,-79.94424,1989,621.0,199.8751,493.902127
7342216010661,39.125021,-80.017983,1989,Unknown,,
7342224010661,39.125021,-80.017983,1989,Unknown,,
7342233010661,39.44454,-78.11084,1989,341.0,740.4694,1829.739732
7342293010661,39.47232,-77.86083,1989,341.0,56.7222,140.163608
7342316010661,39.44454,-77.94416,1989,132.0,78.6018,194.229277
7342335010661,39.41677,-77.94416,1989,802.0,977.088,2414.437025
7342416010661,39.27788,-78.0275,1989,132.0,1404.3479,3470.219229
7342476010661,39.61121,-78.13862,1989,356.0,932.383,2303.968565
7342532010661,39.52787,-78.11084,1989,400.0,358.3991,885.623462
7342591010661,39.33343,-78.08306,1989,541.0,589.0581,1455.594262
7342659010661,39.41677,-78.0275,1989,462.0,126.5496,312.710871
7342683010661,39.44454,-77.88861,1989,Unknown,,
7342691010661,39.5001,-78.16639,1989,Unknown,,
7342699010661,39.61121,-77.88861,1989,Unknown,,
7342709010661,39.30566,-78.11083,1989,Unknown,,
7342718010661,39.41677,-77.94416,1989,832.0,1120.5408,2768.916613
7342764010661,39.38899,-77.94416,1989,400.0,761.569,1881.877979
7342837010661,39.44454,-77.91639,1989,Unknown,,
7342846010661,39.41677,-77.88861,1989,Unknown,,
7342856010661,39.47232,-77.97194,1989,Unknown,,
7342864010661,39.36121,-77.83305,1989,341.0,405.13,1001.09803
7342881010661,39.47232,-77.94416,1989,Unknown,,
